Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1610059958.8842049,5504,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,-0.004,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8874476,5505,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,-0.004,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.895419,5506,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,-0.004,0.9996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.898093,5507,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012400000000000001,-0.0032,1.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8981678,5508,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012400000000000001,-0.0032,1.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.8982458,5509,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012400000000000001,-0.0032,1.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.9006536,5510,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012400000000000001,-0.0032,1.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.9039664,5511,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012400000000000001,-0.0032,1.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.9061558,5512,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012400000000000001,-0.0032,1.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059958.9091766,5513,0,0,,0.4946317356151107,-0.3494178133433938,-0.12662154287320412,0.7856294436444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012400000000000001,-0.0032,1.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
